drift_event_id,forecast_key,forecast_version,drift_family,family_score,raw_magnitude,eligibility_status,not_computable_reason,version_count,horizon_point_count,shape_distance,divergence_start_date,max_curve_delta,max_curve_delta_pct,value_delta,value_delta_pct,cumulative_revision_pct,structural_break_flag,rolling_stddev,rolling_cov,rolling_mad,oscillation_count,sign_change_freq,volatility_class
1,CAN-GO LOCAL,2025-12-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
1,CAN-GO LOCAL,2025-12-01,shape,61.76,0.172521,COMPUTED,,,1338.0,0.172521,2026-03-07,50208.198526,0.255231,,,,,,,,,,
1,CAN-GO LOCAL,2025-12-01,stability,82.63,0.255231,COMPUTED,,2.0,,,,,,50208.198526,0.255231,,True,,,,,,
1,CAN-GO LOCAL,2025-12-01,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
2,CAN-GO LOCAL,2026-01-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
2,CAN-GO LOCAL,2026-01-01,shape,3.11,0.007765,COMPUTED,,,1460.0,0.007765,,-1711.306882,-0.010505,,,,,,,,,,
2,CAN-GO LOCAL,2026-01-01,stability,7.0,0.010505,COMPUTED,,3.0,,,,,,-1711.306882,-0.010505,0.025791,False,,,,,,
2,CAN-GO LOCAL,2026-01-01,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
3,CAN-GO LOCAL,2026-02-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
3,CAN-GO LOCAL,2026-02-01,shape,1.53,0.003822,COMPUTED,,,1460.0,0.003822,,1334.8309,0.005189,,,,,,,,,,
3,CAN-GO LOCAL,2026-02-01,stability,3.46,0.005184,COMPUTED,,2.0,,,,,,1332.306066,0.005184,,False,,,,,,
3,CAN-GO LOCAL,2026-02-01,volatility,53.49,0.105986,COMPUTED,,4.0,,,,,,,,,,24788.539363,0.105986,0.003178,2.0,1.0,variable
4,CAN-Go Local,2026-04-06,performance,,,NOT_COMPUTABLE,METRIC_VERSION_UNMATCHED,,,,,,,,,,,,,,,,
4,CAN-Go Local,2026-04-06,shape,7.36,0.018403,COMPUTED,,,1409.0,0.018403,,4699.500871,0.018444,,,,,,,,,,
4,CAN-Go Local,2026-04-06,stability,12.3,0.018443,COMPUTED,,2.0,,,,,,4692.245204,0.018443,,False,,,,,,
4,CAN-Go Local,2026-04-06,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
5,CAN-Go Local,2026-04-16,performance,0.0,0.0,COMPUTED,,,,,,,,,,,,,,,,,
5,CAN-Go Local,2026-04-16,shape,0.7,0.00176,COMPUTED,,,1429.0,0.00176,,380.000784,0.00223,,,,,,,,,,
5,CAN-Go Local,2026-04-16,stability,1.49,0.00223,COMPUTED,,3.0,,,,,,380.000784,0.00223,0.020241,False,,,,,,
5,CAN-Go Local,2026-04-16,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
6,CAN-Go Local,2026-05-01,performance,100.0,1.555556,COMPUTED,,,,,,,,,,,,,,,,,
6,CAN-Go Local,2026-05-01,shape,0.94,0.002344,COMPUTED,,,1414.0,0.002344,,-723.362897,-0.002763,,,,,,,,,,
6,CAN-Go Local,2026-05-01,stability,1.84,0.002753,COMPUTED,,3.0,,,,,,-717.742472,-0.002753,-0.001297,False,,,,,,
6,CAN-Go Local,2026-05-01,volatility,6.27,0.009401,COMPUTED,,4.0,,,,,,,,,,1605.318977,0.009401,0.001108,1.0,0.5,stable
7,GBR-GO LOCAL,2025-12-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
7,GBR-GO LOCAL,2025-12-01,shape,6.08,0.015196,COMPUTED,,,1338.0,0.015196,,5717.216962,0.022752,,,,,,,,,,
7,GBR-GO LOCAL,2025-12-01,stability,15.17,0.022752,COMPUTED,,2.0,,,,,,5717.216962,0.022752,,False,,,,,,
7,GBR-GO LOCAL,2025-12-01,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
8,GBR-GO LOCAL,2026-01-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
8,GBR-GO LOCAL,2026-01-01,shape,39.46,0.098647,COMPUTED,,,1460.0,0.098647,2026-12-28,54268.870702,0.141105,,,,,,,,,,
8,GBR-GO LOCAL,2026-01-01,stability,66.66,0.141105,COMPUTED,,2.0,,,,,,54268.870702,0.141105,,False,,,,,,
8,GBR-GO LOCAL,2026-01-01,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
9,GBR-GO LOCAL,2026-02-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
9,GBR-GO LOCAL,2026-02-01,shape,8.27,0.020686,COMPUTED,,,1460.0,0.020686,,-8194.657931,-0.018513,,,,,,,,,,
9,GBR-GO LOCAL,2026-02-01,stability,16.12,0.024178,COMPUTED,,4.0,,,,,,-6405.348761,-0.024178,0.00712,False,,,,,,
9,GBR-GO LOCAL,2026-02-01,volatility,39.5,0.069002,COMPUTED,,4.0,,,,,,,,,,27115.45591,0.069002,0.056622,1.0,0.5,variable
10,GBR-Go Local,2026-04-06,performance,,,NOT_COMPUTABLE,METRIC_VERSION_UNMATCHED,,,,,,,,,,,,,,,,
10,GBR-Go Local,2026-04-06,shape,77.58,0.250561,COMPUTED,,,1409.0,0.250561,2026-05-31,114878.592417,0.386753,,,,,,,,,,
10,GBR-Go Local,2026-04-06,stability,98.41,0.386753,COMPUTED,,2.0,,,,,,114878.592417,0.386753,,True,,,,,,
10,GBR-Go Local,2026-04-06,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
11,GBR-Go Local,2026-04-16,performance,0.0,0.0,COMPUTED,,,,,,,,,,,,,,,,,
11,GBR-Go Local,2026-04-16,shape,8.19,0.02047,COMPUTED,,,1429.0,0.02047,,6989.01905,0.026094,,,,,,,,,,
11,GBR-Go Local,2026-04-16,stability,17.4,0.026094,COMPUTED,,3.0,,,,,,6989.01905,0.026094,0.06407,False,,,,,,
11,GBR-Go Local,2026-04-16,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
12,GBR-Go Local,2026-05-01,performance,80.65,0.677419,COMPUTED,,,,,,,,,,,,,,,,,
12,GBR-Go Local,2026-05-01,shape,10.53,0.026336,COMPUTED,,,1414.0,0.026336,,10731.954812,0.025432,,,,,,,,,,
12,GBR-Go Local,2026-05-01,stability,18.26,0.027386,COMPUTED,,4.0,,,,,,7568.949976,0.027386,0.097712,False,,,,,,
12,GBR-Go Local,2026-05-01,volatility,71.83,0.159169,COMPUTED,,4.0,,,,,,,,,,61973.036739,0.159169,0.021249,0.0,0.0,erratic_single_spike
13,LAM-MULTITENANT,2025-12-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
13,LAM-MULTITENANT,2025-12-01,shape,17.12,0.042796,COMPUTED,,,1338.0,0.042796,,12107.243231,0.048384,,,,,,,,,,
13,LAM-MULTITENANT,2025-12-01,stability,29.19,0.048376,COMPUTED,,2.0,,,,,,12102.487077,0.048376,,False,,,,,,
13,LAM-MULTITENANT,2025-12-01,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
14,LAM-MULTITENANT,2026-01-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
14,LAM-MULTITENANT,2026-01-01,shape,75.27,0.235106,COMPUTED,,,1460.0,0.235106,2026-05-18,92082.944802,0.339048,,,,,,,,,,
14,LAM-MULTITENANT,2026-01-01,stability,92.69,0.339048,COMPUTED,,2.0,,,,,,92082.944802,0.339048,,True,,,,,,
14,LAM-MULTITENANT,2026-01-01,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
15,LAM-MULTITENANT,2026-02-01,performance,,,NOT_COMPUTABLE,NO_METRICS,,,,,,,,,,,,,,,,
15,LAM-MULTITENANT,2026-02-01,shape,37.38,0.09344,COMPUTED,,,1460.0,0.09344,2027-01-15,-44289.612918,-0.120521,,,,,,,,,,
15,LAM-MULTITENANT,2026-02-01,stability,58.95,0.120521,COMPUTED,,2.0,,,,,,-44289.612918,-0.120521,,False,,,,,,
15,LAM-MULTITENANT,2026-02-01,volatility,69.51,0.14869,COMPUTED,,4.0,,,,,,,,,,43248.513978,0.14869,0.098135,1.0,0.5,variable
16,LAM-Multitenant,2026-04-06,performance,,,NOT_COMPUTABLE,METRIC_VERSION_UNMATCHED,,,,,,,,,,,,,,,,
16,LAM-Multitenant,2026-04-06,shape,1.54,0.00384,COMPUTED,,,1409.0,0.00384,,1705.82583,0.005144,,,,,,,,,,
16,LAM-Multitenant,2026-04-06,stability,3.43,0.005138,COMPUTED,,2.0,,,,,,1702.364158,0.005138,,False,,,,,,
16,LAM-Multitenant,2026-04-06,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
17,LAM-Multitenant,2026-04-16,performance,0.0,0.0,COMPUTED,,,,,,,,,,,,,,,,,
17,LAM-Multitenant,2026-04-16,shape,0.24,0.000596,COMPUTED,,,1429.0,0.000596,,158.315724,0.000812,,,,,,,,,,
17,LAM-Multitenant,2026-04-16,stability,0.54,0.000812,COMPUTED,,3.0,,,,,,158.315724,0.000812,0.001287,False,,,,,,
17,LAM-Multitenant,2026-04-16,volatility,,,NOT_COMPUTABLE,INSUFFICIENT_VERSIONS,,,,,,,,,,,,,,,,
18,LAM-Multitenant,2026-05-01,performance,100.0,3.571429,COMPUTED,,,,,,,,,,,,,,,,,
18,LAM-Multitenant,2026-05-01,shape,1.48,0.003709,COMPUTED,,,1414.0,0.003709,,1798.38851,0.005345,,,,,,,,,,
18,LAM-Multitenant,2026-05-01,stability,3.56,0.005335,COMPUTED,,3.0,,,,,,1792.764395,0.005335,0.005809,False,,,,,,
18,LAM-Multitenant,2026-05-01,volatility,2.96,0.004434,COMPUTED,,4.0,,,,,,,,,,1477.395857,0.004434,0.002794,0.0,0.0,stable
