"calculation_run_id","check_order","check_id","canonical_check_name","display_name","category","scope","rule_description","expected_value","observed_value","check_status","severity","evidence_source","evidence_reference","checked_at_utc"
"1","1","DQ-01","signals_not_empty","Signals Not Empty","Completeness & Presence","signals","The governed signals dataset must contain at least one row.",">= 1 signal row","168","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> signals_not_empty = 168","2026-07-13T22:44:10.988426+00:00"
"1","2","DQ-02","required_columns_present","Required Columns Present","Schema","signals","All required signal columns (drift_event_id, record_hash, calculation_run_id, forecast_key, forecast_version, forecast_drift_score, drift_status, is_event, etc.) are present.","No required columns missing ([])","[] (none missing)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> required_columns_present = []","2026-07-13T22:44:10.988426+00:00"
"1","3","DQ-03","grain_unique","Grain Uniqueness","Uniqueness","signals","No duplicate rows on the governed grain (calculation_version, scenario, forecast_key, forecast_version, drift_type).","0 duplicates","0 duplicates","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> grain_unique = 0 duplicates","2026-07-13T22:44:10.988426+00:00"
"1","4","DQ-04","record_hash_unique","Record Hash Uniqueness","Uniqueness","signals","Every record_hash value is unique across the signals dataset.","All record_hash unique","unique (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> record_hash_unique = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","5","DQ-05","scores_in_0_100","Scores Within 0-100","Value Range","signals","Performance/Shape/Stability/Volatility/composite drift scores and score_coverage_pct lie within [0, 100].","0 scores out of range","0 out of range","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> scores_in_0_100 = 0 out of range","2026-07-13T22:44:10.988426+00:00"
"1","6","DQ-06","composite_not_null","Composite Score Not Null","Completeness & Presence","signals","The composite forecast_drift_score is non-null for every signal.","No null composite scores","no nulls (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> composite_not_null = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","7","DQ-07","weights_sum_100","Family Weights Sum to 100","Configuration","governed config","The governed family weights (Performance 20 + Shape 40 + Stability 30 + Volatility 10) sum to 100.","100.0","100.0","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> weights_sum_100 = 100.0","2026-07-13T22:44:10.988426+00:00"
"1","8","DQ-08","no_inf_values","No Infinite Values","Value Range","family_scores","No infinite (Inf) values exist in the numeric family-score metrics.","0 infinite values","0","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> no_inf_values = 0","2026-07-13T22:44:10.988426+00:00"
"1","9","DQ-09","no_empty_keys","No Empty Forecast Keys","Completeness & Presence","signals","Every signal has a non-empty forecast_key.","No empty forecast_key","no empty keys (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> no_empty_keys = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","10","DQ-10","four_families_per_signal","Four Families Per Signal","Structural Integrity","family_scores","Each signal has exactly four family-score rows (Performance, Shape, Stability, Volatility).","4 families for all signals","{4: 168}","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> four_families_per_signal = {4: 168}","2026-07-13T22:44:10.988426+00:00"
"1","11","DQ-11","confidence_valid","Confidence Level Valid","Enumeration","signals","confidence_level is one of {HIGH, MEDIUM, LOW}.","All values in {HIGH, MEDIUM, LOW}","all valid (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> confidence_valid = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","12","DQ-12","status_valid","Drift Status Valid","Enumeration","signals","drift_status is one of {Healthy, Watch, Warning, Critical, Unknown}.","All values in {Healthy, Watch, Warning, Critical, Unknown}","all valid (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> status_valid = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","13","DQ-13","forecast_key_raw_present","Raw Forecast Key Present","Completeness & Presence","signals","The forecast_key_raw lineage column (pre-canonicalization) is present (E5B I1).","forecast_key_raw column present","present (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> forecast_key_raw_present = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","14","DQ-14","forecast_key_is_canonical","Forecast Key Is Canonical","Canonicalization","signals","forecast_key equals its canonical form UPPER(TRIM(forecast_key)) for every row.","All forecast_key canonical","all canonical (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> forecast_key_is_canonical = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","15","DQ-15","severity_only_on_events","Severity Only On Events","Conditional Integrity","signals","severity is populated only where is_event = 1; otherwise it is null.","severity null unless is_event = 1","satisfied (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> severity_only_on_events = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","16","DQ-16","performance_mode_valid","Performance Mode Valid","Enumeration","signals","performance_mode is one of {shallow, deep}.","All values in {shallow, deep}","all valid (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> performance_mode_valid = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","17","DQ-17","not_computable_has_null_score","Non-Computable Has Null Score","Conditional Integrity","family_scores","Family rows with eligibility_status = NOT_COMPUTABLE have a null family_score (never treated as zero).","All NOT_COMPUTABLE scores null","satisfied (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> not_computable_has_null_score = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
"1","18","DQ-18","eligibility_status_valid","Eligibility Status Valid","Enumeration","family_scores","eligibility_status is one of {COMPUTED, NOT_COMPUTABLE}.","All values in {COMPUTED, NOT_COMPUTABLE}","all valid (assertion satisfied)","PASS","blocking","validation/_data_quality_checks.csv","checks.py::run_checks -> eligibility_status_valid = (boolean pass)","2026-07-13T22:44:10.988426+00:00"
