fixture_id,family,input,formula_applied,raw_metric,normalized_score,expected_status,expected_explanation,tolerance
FX-PERF-01,Performance,MAPE 0.44 -> 0.45,"delta=0.01; gate perf_min_abs_delta=0.02 -> raw=0",0.0,0.0,Healthy,MAPE change +0.01 below significance gate; no performance drift,+/-0.5
FX-PERF-02,Performance,MAPE 0.45 -> 0.70,"delta=0.25; delta_pct=0.5556; r=0.5556; piecewise anchors 0.10/0.25/0.50/1.00",0.5556,73.3,Critical,MAPE rose 0.45 -> 0.70 (+55.6%) accuracy deteriorating,+/-1.0
FX-SHAPE-01,Shape,A=100,105,110,115 vs B=100,108,130,165,"diffs 0,3,20,50; RMSE=26.97; L=107.5; r=0.2509; anchors 0.05/0.10/0.20/0.40",0.2509,77.6,Critical,Trajectory diverged (rel curve RMSE 25%); max +50 (+43%) at far horizon; divergence at point 3,+/-1.0
FX-SHAPE-01b,Shape,max curve delta / pct,max|F_n-F_prev|=50; 50/115,50 / 0.435,n/a,n/a,Largest curve change 50 (+43.5%) at horizon 4,+/-0.5
FX-STAB-01,Stability,120 -> 122 -> 121 -> 156,"latest revision 121->156; value_delta=35; pct=0.2893; anchors 0.03/0.07/0.15/0.40",0.2893,86.7,Critical,Target revised 121 -> 156 (+28.9%); cumulative +30%; structural break,+/-1.0
FX-STAB-01b,Stability,cumulative revision,(156-120)/120,0.30,n/a,n/a,Cumulative revision +30% vs first version,+/-0.5
FX-VOL-01,Volatility,100,102,101,99,101,160,"mean=110.5; sample std=24.27; CoV=0.2197; anchors 0.03/0.07/0.15/0.30",0.2197,83.9,Critical,Oscillation across last 6 versions (CoV 22%) driven by spike to 160; single-spike,+/-1.0
FX-VOL-01b,Volatility,robust companion,mad_over_median=1/101,0.0099,n/a,n/a,Robust MAD 1% -> single-spike not sustained noise,+/-0.005
FX-VOL-01c,Volatility,sign change frequency,#sign_changes(diffs +2,-1,-2,+2,+59)/(6-2)=2/4,0.5,n/a,n/a,2 sign changes over 4 transitions,+/-0.05
FX-COMP-01,Composite,"P=73.3,S=77.6,St=86.7,V=83.9 all present","FDS=0.2*73.3+0.4*77.6+0.3*86.7+0.1*83.9",n/a,80.1,Critical,Composite drift 80 (Critical); dominant family Shape; coverage 100% confidence HIGH,+/-1.0
FX-COMP-02,Composite,"same but Volatility NOT_COMPUTABLE","renormalize over 0.2+0.4+0.3=0.9",n/a,79.7,Critical,Composite 80 over 3 families; coverage 90%; missing Volatility; confidence HIGH,+/-1.0
